index,clf,dataset,time,accuracy,f1_score,recall
0,Naive Bayes,StandardScaler,0.3084099292755127,1.0,1.0,1.0
1,Random Forest 100,StandardScaler,7.428898096084595,0.9495332008548611,0.9043573244050658,0.878629395852119
2,"NN 5,5",StandardScaler,6.903003931045532,1.0,1.0,1.0
3,SVM RBF c 1,StandardScaler,56.25616526603699,0.9999340627587763,0.9999340627587763,0.9999340627587763
