index,max_depth,min_samples,time,accuracy,f1_score,recall
0,2,2,45.83660125732422,0.7181818181818183,0.48376787216148026,0.5467836257309941
1,2,3,45.59078073501587,0.6896067415730337,0.4585616438356165,0.5328947368421052
2,2,4,44.09874105453491,0.6896067415730337,0.4585616438356165,0.5328947368421052
3,2,5,44.38958120346069,0.7181818181818183,0.48376787216148026,0.5467836257309941
4,2,6,44.59079957008362,0.7181818181818183,0.48376787216148026,0.5467836257309941
5,2,7,44.66898488998413,0.8131868131868132,0.43776671408250356,0.5277777777777778
6,2,8,43.98355293273926,0.7181818181818183,0.48376787216148026,0.5467836257309941
7,2,9,44.089927434921265,0.6896067415730337,0.4585616438356165,0.5328947368421052
8,3,2,52.288618326187134,0.5932539682539683,0.4869976359338062,0.5343567251461988
9,3,3,53.56839609146118,0.6494252873563218,0.4771825396825397,0.5380116959064327
10,3,4,52.72489666938782,0.608499095840868,0.535,0.5584795321637427
11,3,5,52.21040487289429,0.5932539682539683,0.4869976359338062,0.5343567251461988
12,3,6,51.70895266532898,0.5617647058823529,0.4641485275288092,0.52046783625731
13,3,7,52.5680046081543,0.6494252873563218,0.4771825396825397,0.5380116959064327
14,3,8,53.99590301513672,0.5898004434589801,0.5017602938925456,0.5394736842105263
15,3,9,53.084872245788574,0.6301470588235294,0.49391805377720877,0.5431286549707602
16,4,2,59.226218938827515,0.6301470588235294,0.49391805377720877,0.5431286549707602
17,4,3,59.59396576881409,0.6301470588235294,0.49391805377720877,0.5431286549707602
18,4,4,59.104873180389404,0.5898004434589801,0.5017602938925456,0.5394736842105263
19,4,5,59.60857081413269,0.5603448275862069,0.4464285714285714,0.5153508771929824
20,4,6,58.74933338165283,0.6301470588235294,0.49391805377720877,0.5431286549707602
21,4,7,58.66974067687988,0.6301470588235294,0.49391805377720877,0.5431286549707602
22,4,8,59.82370066642761,0.5996677740863787,0.47064563343633103,0.5292397660818713
23,4,9,59.107075214385986,0.5932539682539683,0.4869976359338062,0.5343567251461988
24,5,2,63.408514976501465,0.5224252491694352,0.44039681248983575,0.506578947368421
25,5,3,64.4096109867096,0.5224252491694352,0.44039681248983575,0.506578947368421
26,5,4,64.06985902786255,0.5996677740863787,0.47064563343633103,0.5292397660818713
27,5,5,63.37398958206177,0.5317460317460317,0.45768321513002364,0.5116959064327485
28,5,6,63.87272930145264,0.5317460317460317,0.45768321513002364,0.5116959064327485
29,5,7,63.964407444000244,0.5224252491694352,0.44039681248983575,0.506578947368421
30,5,8,63.76990795135498,0.619277108433735,0.5090062111801241,0.5482456140350878
31,5,9,63.169315814971924,0.6126543209876543,0.5226449275362318,0.5533625730994152
32,6,2,65.66080117225647,0.4933823529411765,0.43437900128040974,0.49780701754385964
33,6,3,66.68316173553467,0.5617647058823529,0.4641485275288092,0.52046783625731
34,6,4,66.93220329284668,0.5617647058823529,0.4641485275288092,0.52046783625731
35,6,5,66.65830254554749,0.5382483370288248,0.4732894535435481,0.5168128654970761
36,6,6,66.56271290779114,0.5996677740863787,0.47064563343633103,0.5292397660818713
37,6,7,69.8153166770935,0.5382483370288248,0.4732894535435481,0.5168128654970761
38,6,8,66.31965184211731,0.5382483370288248,0.4732894535435481,0.5168128654970761
39,6,9,66.65126848220825,0.5317460317460317,0.45768321513002364,0.5116959064327485
40,7,2,68.44918441772461,0.5932539682539683,0.4869976359338062,0.5343567251461988
41,7,3,67.53734040260315,0.5932539682539683,0.4869976359338062,0.5343567251461988
42,7,4,71.03108859062195,0.6547619047619048,0.5163120567375886,0.5570175438596491
43,7,5,73.75472092628479,0.6547619047619048,0.5163120567375886,0.5570175438596491
44,7,6,71.72680616378784,0.6301470588235294,0.49391805377720877,0.5431286549707602
45,7,7,72.61289572715759,0.5632530120481928,0.4801242236024845,0.5255847953216374
46,7,8,70.75476288795471,0.6413525498891353,0.530231134241543,0.5621345029239766
47,7,9,70.20238471031189,0.5898004434589801,0.5017602938925456,0.5394736842105263
48,8,2,75.23405075073242,0.6413525498891353,0.530231134241543,0.5621345029239766
49,8,3,73.05969142913818,0.6413525498891353,0.530231134241543,0.5621345029239766
50,8,4,71.8364360332489,0.619277108433735,0.5090062111801241,0.5482456140350878
51,8,5,72.71936869621277,0.6413525498891353,0.530231134241543,0.5621345029239766
52,8,6,73.01542782783508,0.6547619047619048,0.5163120567375886,0.5570175438596491
53,8,7,71.25705742835999,0.6413525498891353,0.530231134241543,0.5621345029239766
54,8,8,72.74068880081177,0.6326923076923077,0.5428273499180694,0.567251461988304
55,8,9,72.03836512565613,0.619277108433735,0.5090062111801241,0.5482456140350878
56,9,2,75.43110847473145,0.6301470588235294,0.49391805377720877,0.5431286549707602
57,9,3,73.02332019805908,0.619277108433735,0.5090062111801241,0.5482456140350878
58,9,4,74.89899969100952,0.6604938271604939,0.5507246376811594,0.5760233918128654
59,9,5,82.19345235824585,0.675301204819277,0.537888198757764,0.570906432748538
60,9,6,82.02618336677551,0.6494252873563218,0.4771825396825397,0.5380116959064327
61,9,7,80.77213931083679,0.5932539682539683,0.4869976359338062,0.5343567251461988
62,9,8,82.97009897232056,0.5632530120481928,0.4801242236024845,0.5255847953216374
63,9,9,78.35467886924744,0.5932539682539683,0.4869976359338062,0.5343567251461988
