index,max_depth,min_samples,time,accuracy,f1_score,recall
0,2,2,0.1250462532043457,0.5632530120481928,0.4801242236024845,0.5255847953216374
1,2,3,0.12488794326782227,0.5632530120481928,0.4801242236024845,0.5255847953216374
2,2,4,0.1448664665222168,0.5632530120481928,0.4801242236024845,0.5255847953216374
3,2,5,0.12309479713439941,0.5632530120481928,0.4801242236024845,0.5255847953216374
4,2,6,0.12022972106933594,0.5632530120481928,0.4801242236024845,0.5255847953216374
5,2,7,0.12011027336120605,0.5632530120481928,0.4801242236024845,0.5255847953216374
6,2,8,0.12003684043884277,0.5632530120481928,0.4801242236024845,0.5255847953216374
7,2,9,0.11981368064880371,0.5632530120481928,0.4801242236024845,0.5255847953216374
8,3,2,0.13473963737487793,0.6044444444444445,0.5563973063973064,0.5687134502923976
9,3,3,0.14344406127929688,0.6044444444444445,0.5563973063973064,0.5687134502923976
10,3,4,0.16226530075073242,0.6044444444444445,0.5563973063973064,0.5687134502923976
11,3,5,0.142747163772583,0.5871794871794872,0.5272331154684096,0.5497076023391813
12,3,6,0.12728571891784668,0.6230650154798762,0.564619094907079,0.577485380116959
13,3,7,0.12807416915893555,0.6230650154798762,0.564619094907079,0.577485380116959
14,3,8,0.13042712211608887,0.6230650154798762,0.564619094907079,0.577485380116959
15,3,9,0.1511828899383545,0.6230650154798762,0.564619094907079,0.577485380116959
16,4,2,0.14267992973327637,0.6498015873015873,0.6079151366789065,0.6103801169590644
17,4,3,0.1441183090209961,0.6356164383561644,0.5912087912087912,0.5964912280701754
18,4,4,0.14186716079711914,0.6498015873015873,0.6079151366789065,0.6103801169590644
19,4,5,0.14127588272094727,0.6356164383561644,0.5912087912087912,0.5964912280701754
20,4,6,0.13538265228271484,0.6388888888888888,0.5824915824915825,0.5913742690058479
21,4,7,0.14872407913208008,0.6190476190476191,0.5826193390452877,0.587719298245614
22,4,8,0.13967537879943848,0.6498015873015873,0.6079151366789065,0.6103801169590644
23,4,9,0.1398935317993164,0.6603260869565217,0.6309523809523809,0.6293859649122807
24,5,2,0.14739036560058594,0.6322463768115942,0.6063492063492063,0.6067251461988304
25,5,3,0.16107940673828125,0.6037131882202305,0.5740840517241379,0.5789473684210527
26,5,4,0.14479780197143555,0.6190476190476191,0.5826193390452877,0.587719298245614
27,5,5,0.14358973503112793,0.6536273115220483,0.5998612074947953,0.6052631578947368
28,5,6,0.21001935005187988,0.6334827144686299,0.5991379310344828,0.6016081871345029
29,5,7,0.1728963851928711,0.6472049689440994,0.6152408914987322,0.6154970760233918
30,5,8,0.16329622268676758,0.6334827144686299,0.5991379310344828,0.6016081871345029
31,5,9,0.13045835494995117,0.6632522407170294,0.6241918103448276,0.6242690058479532
32,6,2,0.13875460624694824,0.682967032967033,0.6664959016393444,0.6622807017543859
33,6,3,0.1330585479736328,0.6851320321469575,0.6612903225806452,0.6571637426900585
34,6,4,0.14043903350830078,0.6574175824175824,0.6426741803278688,0.6396198830409356
35,6,5,0.1422722339630127,0.6603260869565217,0.6309523809523809,0.6293859649122807
36,6,6,0.1674492359161377,0.6760869565217391,0.6400640597891365,0.6381578947368421
37,6,7,0.15029215812683105,0.6603260869565217,0.6309523809523809,0.6293859649122807
38,6,8,0.19470906257629395,0.6037131882202305,0.5740840517241379,0.5789473684210527
39,6,9,0.14520692825317383,0.6334827144686299,0.5991379310344828,0.6016081871345029
40,7,2,0.19277548789978027,0.6322463768115942,0.6063492063492063,0.6067251461988304
41,7,3,0.1739521026611328,0.6884057971014492,0.6555555555555556,0.652046783625731
42,7,4,0.1972212791442871,0.6322463768115942,0.6063492063492063,0.6067251461988304
43,7,5,0.15996026992797852,0.6708754208754208,0.6519550909794811,0.6483918128654971
44,7,6,0.17000555992126465,0.6334827144686299,0.5991379310344828,0.6016081871345029
45,7,7,0.13855290412902832,0.6190476190476191,0.5826193390452877,0.587719298245614
46,7,8,0.1585681438446045,0.6334827144686299,0.5991379310344828,0.6016081871345029
47,7,9,0.13962268829345703,0.6632522407170294,0.6241918103448276,0.6242690058479532
48,8,2,0.16017603874206543,0.6455882352941176,0.6219016393442622,0.6206140350877193
49,8,3,0.14967131614685059,0.6317451205510907,0.6129032258064515,0.6118421052631579
50,8,4,0.16546058654785156,0.6182352941176471,0.5975081967213115,0.597953216374269
51,8,5,0.14508938789367676,0.6805555555555556,0.6332109343125255,0.6330409356725146
52,8,6,0.15288233757019043,0.7002941176470588,0.6706885245901639,0.6659356725146199
53,8,7,0.14619660377502441,0.6322463768115942,0.6063492063492063,0.6067251461988304
54,8,8,0.14053583145141602,0.6472049689440994,0.6152408914987322,0.6154970760233918
55,8,9,0.1292412281036377,0.6183229813664596,0.5904177232083279,0.5928362573099415
56,9,2,0.15013337135314941,0.6447811447811448,0.6279519938056524,0.6257309941520468
57,9,3,0.15021753311157227,0.6318681318681318,0.6188524590163934,0.6169590643274854
58,9,4,0.16974496841430664,0.6317451205510907,0.6129032258064515,0.6118421052631579
59,9,5,0.15013813972473145,0.6603260869565217,0.6309523809523809,0.6293859649122807
60,9,6,0.14175963401794434,0.6884057971014492,0.6555555555555556,0.652046783625731
61,9,7,0.16568541526794434,0.6334827144686299,0.5991379310344828,0.6016081871345029
62,9,8,0.13034939765930176,0.6472049689440994,0.6152408914987322,0.6154970760233918
63,9,9,0.13148927688598633,0.6472049689440994,0.6152408914987322,0.6154970760233918
